title,salary,experience,education,skill,city
29777-金融云区块链高级研发工程师（深圳）(职位编号：49097),12000.0,3,本科,4,深圳
Python爬虫工程师,12000.0,3,大专,5,广州
29777-腾讯云金融行业后台开发高级工程师(职位编号：49096),12000.0,5,本科,14,深圳
Computer Vision Engineer,12000.0,0,本科,6,北京
TEG02-云网络测试工程师(职位编号：49318),12000.0,3,本科,6,深圳
Python开发工程师,17500.0,5,本科,8,上海
Cloud System Engineer,12000.0,0,硕士,1,北京
Python高级开发工程师,22500.0,5,本科,9,深圳
Java Application Development Senior Manager,22500.0,5,本科,1,上海
自然语言处理工程师,16000.0,0,本科,12,深圳
18428-金融应用安全运维工程师(职位编号：49310),12000.0,3,本科,8,深圳
28096-腾讯音乐DMP后台开发工程师（深圳）(职位编号：49299),12000.0,3,本科,5,深圳
28096-腾讯音乐广告推荐算法工程师（深圳）(职位编号：49297),12000.0,3,硕士,12,深圳
28096-腾讯音乐音频研究员（深圳）(职位编号：49296),12000.0,3,硕士,4,深圳
22989-腾讯云块存储高级运营开发工程师（深圳）(职位编号：49287),12000.0,3,本科,8,深圳
GY0-[国际业务部]搜索业务高级算法工程师(深圳)(职位编号：49277),12000.0,3,本科,9,深圳
算法工程师（Java/Scala/Python/R方向）,22500.0,3,硕士,9,北京
风险策略岗,25000.0,3,本科,12,上海
30628-腾讯广告算法高级工程师（研发中心-深圳）(职位编号：49199),12000.0,2,硕士,12,深圳
市场运营经理,12000.0,0,本科,10,深圳
25667-腾讯云高级数据分析师（深圳）(职位编号：49184),12000.0,5,本科,8,深圳
数据分析工程师,22500.0,3,本科,9,深圳
TEG05-高级后台开发工程师（深圳）(职位编号：49181),12000.0,3,本科,6,深圳
TEG05-大数据软件开发工程师（深圳）(职位编号：49180),12000.0,3,本科,7,深圳
28598-WEB前端开发工程师(职位编号：49177),12000.0,2,本科,6,深圳
18428-银行业务测试工程师（深圳）(职位编号：49175),12000.0,3,本科,6,深圳
Data/DevOps Infrastructure (Lead) Engineer(职位编号：000818),35000.0,0,本科,2,上海
20503-优图运维开发工程师(上海）(职位编号：49357),12000.0,3,本科,9,上海
Python开发工程师（平台层）,15499.0,1,本科,3,深圳
32032-资深后台开发工程师（上海）(职位编号：49355),12000.0,5,本科,10,上海
CSIG16-自动驾驶云平台高级前端开发工程师（北京）(职位编号：49344),12000.0,2,本科,3,北京
值班工程师(职位编号：huya001553),8500.0,0,本科,3,广州
PCG04-web前端高级开发工程师(职位编号：49331),12000.0,3,本科,6,深圳
业务运维工程师(职位编号：huya001546),16000.0,2,本科,10,广州
PCG04-安全测试组长(职位编号：49330),12000.0,5,本科,7,深圳
计算机视觉算法工程师（深度学习）(职位编号：huya001488),30000.0,0,硕士,11,广州
18302-剑灵IP手游后台高级开发工程师（深圳）(职位编号：49328),12000.0,5,本科,6,深圳
混合云平台架构师(职位编号：huya001467),40000.0,8,本科,1,广州
机器学习工程师(职位编号：huya001567),30000.0,3,本科,5,广州
算法工程师,30000.0,2,硕士,12,成都
数据咨询师,12500.0,2,本科,9,上海
27730-分布式数据架构(职位编号：49250),12000.0,3,硕士,4,北京
Devops工程师,22500.0,3,本科,6,深圳
27730-短视频个性化推荐算法工程师(职位编号：49249),12000.0,3,硕士,7,北京
开发运维工程师(012632)(职位编号：012632),9000.0,2,大专,10,成都
运维工程师,12500.0,2,大专,5,深圳
C# 商城开发/运维工程师,11000.0,2,本科,9,上海
Python开发工程师,12500.0,3,大专,2,北京
自然语言工程师,10416.0,0,硕士,7,成都
软件技术支持工程师,5000.0,0,本科,6,成都
高级后端开发工程师,22500.0,5,本科,2,上海
Python开发工程师,12500.0,2,本科,7,上海
图像识别算法工程师,8333.0,0,硕士,11,成都
算法工程师,20000.0,5,本科,14,上海
高级运维工程师,10500.0,2,本科,6,北京
Python高级讲师,22500.0,0,大专,8,北京
研究院-云开发测试研究员,22500.0,3,本科,3,北京
游戏运维工程师,17500.0,1,本科,1,广州
微信小程序开发工程师,15000.0,3,本科,7,上海
运维工程师,19000.0,2,大专,3,深圳
手游客户端开发工程师（阴阳师）,17500.0,0,本科,8,广州
研究院-测试研究员,22500.0,3,本科,3,北京
高级网络部署实施工程师,12000.0,2,本科,8,上海
数据分析专员,10500.0,1,本科,12,上海
手游服务端开发工程师（阴阳师）,20000.0,0,本科,1,广州
手游客户端开发工程师（U3D）,12500.0,2,本科,1,广州
中级测试工程师,10000.0,3,大专,9,深圳
软件测试工程师,9583.0,2,本科,5,上海
手游服务器端开发工程师,12500.0,2,本科,5,广州
策略数据分析师(J10263),12500.0,2,本科,12,北京
软件测试工程师,10000.0,3,本科,6,广州
C++ Developer Intern,2500.0,0,本科,2,成都
客户端开发工程师,22500.0,1,本科,11,广州
Python高级开发工程师,17500.0,3,本科,7,北京
数据库管理员,35000.0,5,本科,3,上海
贷后数据分析师,16000.0,1,本科,12,上海
Python开发工程师,13500.0,3,大专,8,深圳
手游客户端开发工程师（Cocos）,17500.0,2,本科,8,广州
Quant trader,12500.0,5,本科,1,成都
Python开发（量化策略）,11500.0,3,本科,1,上海
手游服务端开发工程师（棋牌）,20000.0,0,本科,7,广州
QT开发工程师,12500.0,1,本科,6,成都
自动化测试工程师（上海）,17500.0,5,本科,8,上海
Python数据分析工程师,12500.0,3,本科,2,上海
手游开发工程师（荒野行动）,21000.0,3,本科,1,广州
产品经理,9000.0,2,本科,4,深圳
中级C++软件工程师,14000.0,3,本科,6,上海
Odoo/Python开发工程师,8000.0,2,大专,8,深圳
手游服务端开发工程师（梦幻）,19500.0,2,本科,4,广州
AI图像算法工程师,15000.0,1,本科,8,成都
大数据架构师,17500.0,0,本科,8,广州
python工程师岗,22500.0,2,本科,2,上海
手游客户端开发工程师（百万亚瑟王）,17500.0,1,本科,1,广州
初中级测试工程师,11500.0,1,本科,4,深圳
Python开发工程师(职位编号：0416),12500.0,3,本科,3,上海
手游客户端开发工程师（Alpha）,17500.0,2,本科,3,广州
Media SW Engineer on Mobile platform,12000.0,0,本科,1,北京
网络安全工程师(职位编号：2),15000.0,0,本科,8,北京
Python开发工程师,12500.0,2,大专,1,上海
手游客户端开发工程师（哈利波特）,19500.0,2,本科,3,广州
中级运维工程师,10000.0,3,本科,9,北京
手游服务端开发工程师（棋牌）,17500.0,1,本科,3,广州
Python开发工程师,9000.0,0,本科,12,广州
Machine Learning Engineer,12000.0,0,本科,3,北京
场景特效师,11000.0,0,本科,5,成都
金融工程研究岗,2500.0,0,本科,12,深圳
测试开发工程师,22500.0,3,本科,6,广州
Python开发工程师,12500.0,2,本科,8,上海
Docker开发工程师,11500.0,2,本科,8,北京
资深Python开发工程师,22500.0,3,硕士,4,上海
手游客户端开发工程师（大话）,20000.0,2,本科,4,广州
Technology Solutions Associate Director,27500.0,8,本科,1,上海
Python开发工程师,12500.0,1,本科,1,上海
手游服务端开发工程师（大话）,20000.0,2,本科,1,广州
软件开发工程师（modem方向）,12500.0,2,本科,7,上海
高级LINUXC开发工程师（python、go）(J10681),17500.0,5,本科,8,北京
高级游戏客户端开发工程师,16000.0,2,本科,4,广州
ROS 移动机器人算法工程师,12500.0,0,本科,12,上海
Python开发工程师,12500.0,3,大专,8,上海
高级游戏服务端开发工程师,16000.0,2,本科,8,广州
网络信息安全工程师,12500.0,0,本科,4,上海
Python中高级开发工程师,12500.0,0,本科,5,成都
数据仓库开发工程师（ETL）,17500.0,1,本科,11,广州
"Operation Officer(Snr. Offcer, T&O)",12000.0,3,本科,1,上海
Python开发工程师,10000.0,0,本科,6,上海
DNS高级开发工程师,16000.0,0,本科,5,广州
网络安全工程师,26500.0,5,大专,1,广州
Python老师,7000.0,2,大专,9,广州
高级运维工程师（数据库方向）,17500.0,1,本科,6,广州
Linux运维工程师,10499.0,2,本科,5,广州
Python后端研发工程师,12500.0,0,本科,13,上海
服务端开发工程师,17500.0,1,本科,8,广州
系统架构师,30000.0,5,大专,4,广州
数据安全工程师,15000.0,5,大专,7,佛山
Python语言开发工程师,10000.0,2,大专,6,北京
信息管理专员,6000.0,0,本科,11,广州
高级php工程师（广告系统）,14000.0,3,大专,8,广州
高级DBA,40000.0,5,本科,2,上海
高级Python开发工程师,17500.0,0,本科,6,上海
服务器工程师,10500.0,2,大专,6,成都
手游服务端开发工程师（阴阳师）,27500.0,0,本科,5,广州
游戏服务端程序员,15000.0,1,本科,7,上海
Python高级开发工程师,17500.0,3,本科,4,北京
风险模型分析师(职位编号：000353),15000.0,2,本科,11,深圳
手游开发工程师（合作产品部）,22500.0,0,本科,8,广州
WiFi/BT SW FAE/AE,12500.0,0,本科,2,北京
22989-腾讯云DNSPod域名服务PHP/Python开发工程师(职位编号：49414),12000.0,5,本科,5,深圳
手游客户端开发工程师（海神事业部）,22500.0,0,本科,9,广州
数据工程师/ETL工程师,12000.0,1,本科,9,上海
大数据总监(职位编号：000344),42500.0,8,本科,8,深圳
Python开发工程师,12500.0,1,本科,11,西安
手游服务端开发工程师（梦幻事业部）,22500.0,0,本科,9,广州
高级运维工程师,20000.0,0,本科,6,深圳
Finance Intern 项目财务实习生,2500.0,0,本科,6,上海
Python开发工程师,19000.0,5,本科,1,上海
大数据开发工程师,30000.0,3,本科,5,深圳
Linux系统实施运维工程师,11000.0,0,本科,7,深圳
手游客户端开发工程师（梦幻事业部）,22500.0,0,本科,8,广州
Python开发工程师,12500.0,2,本科,10,深圳
数据分析师,15000.0,2,本科,11,上海
手游客户端开发工程师（第十事业部）,22500.0,0,本科,2,广州
图像算法工程师,25000.0,3,硕士,6,上海
python开发技术经理,27500.0,5,本科,4,深圳
图像深度学习算法工程师,14000.0,2,本科,6,深圳
高级PHP开发工程师（运营系统）,22500.0,5,本科,8,深圳
unreal客户端开发工程师（大话事业部）,22500.0,0,本科,8,广州
Python开发工程师,10000.0,2,大专,2,广州
数据库工程师ETL工程师,11500.0,2,大专,6,上海
风险规则与策略岗(职位编号：002390),17500.0,2,本科,6,深圳
Python量化工程师,21500.0,0,本科,10,上海
测试工程师,8500.0,2,本科,9,广州
运维工程师（中级）,5250.0,3,本科,7,成都
Python开发工程师,20000.0,3,本科,5,深圳
手游服务端开发工程师（海神事业部）,22500.0,2,本科,6,广州
系统架构师,22500.0,5,本科,4,广州
服务器开发工程师,16000.0,5,本科,7,深圳
Python爬虫工程师,10000.0,3,本科,8,广州
游戏开发高级工程师（战魂工作室）,22500.0,3,本科,7,广州
网络研发工程师,30000.0,3,本科,6,广州
手游服务器端开发工程师,20000.0,2,本科,1,广州
python开发工程师,15000.0,3,大专,7,深圳
软件自动化测试 （英语）,10500.0,2,本科,1,北京
高级算法工程师,22500.0,3,本科,8,北京
手游高级服务端开发工程师,20000.0,0,本科,8,广州
Python软件研发工程师,18750.0,2,本科,9,上海
Engineer Chapter Lead,12000.0,0,本科,1,成都
风控模型岗,25000.0,3,本科,11,上海
手游高级客户端开发工程师,20000.0,0,本科,3,广州
Python工程师,12000.0,0,大专,4,上海
3D动画电影流程TD,14000.0,0,本科,8,成都
运维工程师,9000.0,3,本科,4,北京
高级运维工程师-云平台、web服务器,20000.0,3,本科,1,广州
Python高级开发工程师,20000.0,3,本科,10,北京
数据产品平台岗(职位编号：002443),17500.0,2,本科,14,深圳
手游服务器端开发工程师,20000.0,2,本科,3,广州
测试工程师（成都）,12500.0,3,大专,5,成都
Python数据分析师,10000.0,2,本科,8,上海
数据分析策略岗(职位编号：002444),17500.0,2,本科,11,深圳
手游客户端开发工程师,17500.0,2,本科,3,广州
Python编程老师,9500.0,0,本科,1,上海
安全运维,12500.0,0,本科,7,北京
算法工程师（风险）(职位编号：002445),17500.0,2,本科,9,深圳
2D/3D客户端程序,17500.0,0,本科,8,杭州
云平台运维,22500.0,3,大专,5,广州
Python开发工程师,15000.0,0,本科,5,上海
算法工程师(职位编号：002446),17500.0,2,本科,10,深圳
产品经理（运营数据分析方向）,8000.0,2,本科,9,成都
高级测试开发工程师,15000.0,3,本科,11,上海
Python开发工程师,12500.0,3,本科,8,上海
中级软件工程师C++,12500.0,3,本科,3,成都
Python开发工程师,12500.0,2,本科,6,上海
系统运维工程师,11000.0,2,本科,1,上海
海外游戏运营,11500.0,0,本科,10,广州
Linux运维（初级）,5250.0,3,本科,4,成都
Python数据分析/爬虫 工程师,22500.0,3,本科,4,上海
Hadoop工程师（Paas.数据分析）,12000.0,2,本科,5,上海
日语运营,11500.0,0,本科,8,广州
Web前端开发工程师,21500.0,5,本科,4,北京
Python开发工程师,15000.0,2,大专,8,深圳
网络渗透工程师.支付行业,15000.0,3,本科,10,广州
开发工程师（儿童教育类）,12500.0,0,本科,12,广州
文本数据挖掘工程师,15000.0,0,本科,9,深圳
Scratch\Python语言教师,10416.0,0,本科,1,北京
手游服务端开发工程师（阴阳师）,22500.0,0,本科,5,广州
监控运维工程师,5833.0,2,大专,5,深圳
DevOps开发工程师,9000.0,0,本科,9,上海
培训运营专员,9000.0,1,本科,3,广州
AI智能软件工程师,25000.0,0,本科,3,上海
电商数据分析师,12500.0,2,本科,12,广州
Python开发工程师,10500.0,0,本科,7,广州
Python研发工程师(001288)(职位编号：kongzhong001288),15000.0,3,本科,6,北京
中级测试工程师,7500.0,2,本科,7,成都
python开发工程师-赴微软,22500.0,3,本科,5,深圳
测试工程师（2019校招）,7000.0,0,本科,10,广州
大数据挖掘工程师,20000.0,3,本科,6,深圳
Python开发工程师,20000.0,0,本科,10,上海
数据仓库开发工程师（ETL）,17500.0,1,本科,6,广州
性能测试经理,27500.0,0,本科,7,上海
Python高级开发工程师,18000.0,2,本科,6,上海
运维开发工程师（监控平台开发方向）,17500.0,2,本科,5,广州
软件测试工程师,12500.0,0,本科,5,北京
Python开发工程师(职位编号：010),14000.0,3,大专,4,深圳
数据开发工程师,20000.0,0,本科,7,上海
市场调研专员,5500.0,1,本科,5,广州
Python全栈工程师,24000.0,1,本科,2,深圳
游戏运维工程师,20000.0,0,本科,8,上海
初级Ruby开发工程师,7500.0,2,本科,3,深圳
Python开发工程师,15500.0,0,本科,1,上海
基础架构工程师（安全方向）,20500.0,2,本科,6,广州
Python工程师,17500.0,2,本科,4,上海
架构师,32500.0,8,本科,9,北京
高级运维工程师（负载均衡方向）,20500.0,2,本科,4,广州
Python开发工程师,17500.0,0,本科,3,广州
基础架构工程师是（硬件方向）,20500.0,2,本科,8,广州
软件开发实习生,3000.0,0,本科,2,上海
Python开发工程师,12500.0,2,大专,6,上海
HR Digitization Specialist(004LSD),12000.0,3,本科,3,北京
游戏测试经理,22500.0,0,本科,6,上海
JAVA\Python 开发工程师,15000.0,3,本科,9,深圳
网易严选-资深性能测试工程师（杭州）,37500.0,5,本科,6,杭州
生物信息工程师(职位编号：B3),14583.0,0,本科,11,天津
Python高级开发工程师,8500.0,3,大专,6,深圳
手游服务端开发-奇点事业部010(职位编号：J184230),17500.0,2,本科,6,广州
底层软件开发工程师,22500.0,3,本科,2,上海
资深三维特效师,8000.0,2,大专,5,广州
Python算法工程师(职位编号：01),12500.0,3,本科,8,上海
手游服务端开发工程师-大话事业部200(职位编号：J184537),17500.0,0,本科,7,广州
资深爬虫架构师,22500.0,0,本科,8,成都
运维工程师,10500.0,2,本科,7,深圳
Python开发工程师,14000.0,1,本科,5,广州
手游客户端开发工程师-大话事业部200(职位编号：J184536),17500.0,0,本科,7,广州
高级测试经理,15000.0,0,本科,13,成都
前端开发工程师(职位编号：1),12500.0,2,大专,4,广州
中级Python工程师,12500.0,3,本科,7,上海
手游客户端开发工程师-大话事业部200(职位编号：J184229),17500.0,0,本科,6,广州
ASIC设计工程师,27500.0,3,硕士,5,北京
数据工程师(001653)(职位编号：001653),11500.0,3,本科,6,北京
python软件工程师,17500.0,0,本科,6,上海
手游服务端开发工程师-大话事业部200(职位编号：J184227),17500.0,0,本科,7,广州
服务器运维工程师,15000.0,2,大专,4,成都
数据工程师(001645)(职位编号：001645),11500.0,3,本科,6,北京
Python开发工程师,17500.0,5,本科,6,深圳
量化研究员实习生,5400.0,0,本科,9,上海
客户端引擎开发工程师-合作产品部（广州）600(职位编号：J184785),27500.0,0,本科,7,广州
软件开发工程师 （自动化方向）(001630)(职位编号：001630),15000.0,0,本科,7,北京
Python开发工程师,7500.0,0,本科,4,广州
Java高级开发工程师,16000.0,3,本科,2,北京
服务端开发工程师-游戏应用与平台发展事业部007(职位编号：J184262),17500.0,0,本科,6,广州
架构师 （大数据方向）(001617)(职位编号：001617),35000.0,0,本科,11,北京
Python开发工程师,11500.0,1,本科,5,广州
运维工程师（可接受实习生）,5500.0,0,本科,4,广州
游戏推荐算法工程师,25000.0,0,本科,11,广州
自动化测试工程师,14000.0,3,大专,8,深圳
Python量化分析师（基金研究方向）,10000.0,3,本科,2,上海
AI（应届生户口指标）,15000.0,0,硕士,8,北京
U3d（unity）客户端开发工程师-梦幻事业部(职位编号：J184738),17500.0,3,本科,7,广州
JAVA/大数据 开发工程师,17500.0,5,本科,2,上海
Python开发工程师,9000.0,2,大专,4,深圳
音频算法工程师-音乐事业部002(职位编号：J178456),45000.0,3,硕士,8,上海
小程序测试,12500.0,0,本科,7,上海
安全测试,15000.0,0,大专,7,深圳
python工程师(人工智能方向）,15000.0,3,本科,3,广州
手游开发工程师-在线游戏事业部420(职位编号：J184782),17500.0,2,本科,6,广州
编译器开发工程师,22500.0,5,本科,3,北京
网络与信息安全 工程师,10000.0,3,大专,11,深圳
Python开发工程师,15000.0,2,大专,7,深圳
游戏测试工程师-质量保障中心300(职位编号：J184751),12500.0,0,本科,6,广州
全栈工程师,25000.0,0,本科,3,北京
oracle运维工程师（驻金宝街）,17500.0,5,本科,5,北京
Python后台开发工程师,8000.0,1,大专,3,广州
手游客户端开发工程师-合作产品部（广州）200(职位编号：J184517),17500.0,0,本科,6,广州
IDC运营总监兼总经理,17500.0,0,本科,7,德宏
Openstack开源平台运维支持（驻金宝街）,17500.0,5,大专,5,北京
Python自动化脚本开发工程师,17500.0,0,本科,3,上海
